STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY18 Lodging Rate,FY18 M&IE,
CA,Stockton ,San Joaquin,,,$107 ,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,1-Oct,31-Dec,$218 ,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,1-Jan,31-Mar,$228 ,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,1-Apr,30-Sep,$218 ,$64,
CA,Tahoe City,Placer,,,$103 ,$64,
CA,Truckee,Nevada ,,,$126 ,$74,
CA,Visalia / Lemoore,Tulare / Kings,,,$100 ,$59,
CA,West Sacramento / Davis,Yolo,,,$117 ,$64,
CA,Yosemite National Park,Mariposa,1-Oct,31-Dec,$123 ,$69,
CA,Yosemite National Park,Mariposa,1-Jan,31-May,$111 ,$69,
CA,Yosemite National Park,Mariposa,1-Jun,30-Sep,$123 ,$69,
CO,Aspen,Pitkin,1-Oct,30-Nov,$164 ,$74,
CO,Aspen,Pitkin,1-Dec,31-Mar,$424 ,$74,
CO,Aspen,Pitkin,1-Apr,31-May,$181 ,$74,
CO,Aspen,Pitkin,1-Jun,31-Aug,$236 ,$74,
CO,Aspen,Pitkin,1-Sep,30-Sep,$164 ,$74,
CO,Boulder / Broomfield,Boulder / Broomfield,1-Oct,30-Apr,$130 ,$59,
CO,Boulder / Broomfield,Boulder / Broomfield,1-May,31-Aug,$153 ,$59,
CO,Boulder / Broomfield,Boulder / Broomfield,1-Sep,30-Sep,$130 ,$59,
CO,Colorado Springs,El Paso,,,$106 ,$59,
CO,Cortez,Montezuma,1-Oct,31-May,$93 ,$59,
CO,Cortez,Montezuma,1-Jun,30-Sep,$115 ,$59,
CO,Crested Butte / Gunnison,Gunnison,1-Oct,30-Nov,$105 ,$64,
CO,Crested Butte / Gunnison,Gunnison,1-Dec,31-Mar,$154 ,$64,
CO,Crested Butte / Gunnison,Gunnison,1-Apr,31-Aug,$119 ,$64,
CO,Crested Butte / Gunnison,Gunnison,1-Sep,30-Sep,$105 ,$64,
CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,,,$180 ,$69,
CO,Douglas ,Douglas,,,$127 ,$59,
CO,Durango,La Plata,1-Oct,31-May,$105 ,$64,
CO,Durango,La Plata,1-Jun,30-Sep,$160 ,$64,
CO,Fort Collins / Loveland,Larimer,,,$109 ,$59,
CO,Grand Lake,Grand,1-Oct,30-Nov,$117 ,$64,
CO,Grand Lake,Grand,1-Dec,31-Mar,$182 ,$64,
CO,Grand Lake,Grand,1-Apr,31-May,$101 ,$64,
CO,Grand Lake,Grand,1-Jun,30-Sep,$117 ,$64,
CO,Montrose,Montrose,,,$95 ,$64,
CO,Silverthorne / Breckenridge,Summit,1-Oct,30-Nov,$121 ,$64,
CO,Silverthorne / Breckenridge,Summit,1-Dec,31-Mar,$196 ,$64,
CO,Silverthorne / Breckenridge,Summit,1-Apr,31-May,$105 ,$64,
CO,Silverthorne / Breckenridge,Summit,1-Jun,30-Sep,$121 ,$64,
CO,Steamboat Springs,Routt,1-Oct,30-Nov,$114 ,$74,
CO,Steamboat Springs,Routt,1-Dec,31-Mar,$187 ,$74,
CO,Steamboat Springs,Routt,1-Apr,31-May,$102 ,$74,
CO,Steamboat Springs,Routt,1-Jun,30-Sep,$114 ,$74,
CO,Telluride,San Miguel,1-Oct,31-Dec,$219 ,$74,
CO,Telluride,San Miguel,1-Jan,31-Mar,$370 ,$74,
CO,Telluride,San Miguel,1-Apr,30-Sep,$219 ,$74,
CO,Vail,Eagle,1-Oct,30-Nov,$140 ,$74,
CO,Vail,Eagle,1-Dec,31-Mar,$377 ,$74,
CO,Vail,Eagle,1-Apr,30-Jun,$149 ,$74,
CO,Vail,Eagle,1-Jul,31-Aug,$192 ,$74,
CO,Vail,Eagle,1-Sep,30-Sep,$140 ,$74,
CT,Bridgeport / Danbury,Fairfield,,,$130 ,$64,
CT,Cromwell / Old Saybrook,Middlesex,,,$94 ,$64,
CT,Hartford,Hartford,,,$125 ,$59,
CT,New Haven,New Haven,,,$107 ,$64,
CT,New London / Groton,New London,,,$105 ,$64,
DC,Washington,,1-Oct,31-Oct,$250 ,$69,
DC,Washington,,1-Nov,28-Feb,$201 ,$69,
DC,Washington,,1-Mar,30-Jun,$253 ,$69,
DC,Washington,,1-Jul,31-Aug,$175 ,$69,
DC,Washington,,1-Sep,30-Sep,$250 ,$69,
VA,Alexandria / Falls Church / Fairfax, "Washington, DC (also the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Oct,31-Oct,$250 ,$69,
VA,Alexandria / Falls Church / Fairfax, "Washington, DC (also the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Nov,28-Feb,$201 ,$69,
VA,Alexandria / Falls Church / Fairfax, "Washington, DC (also the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Mar,30-Jun,$253 ,$69,
VA,Alexandria / Falls Church / Fairfax, "Washington, DC (also the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Jul,31-Aug,$175 ,$69,
VA,Alexandria / Falls Church / Fairfax, "Washington, DC (also the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",1-Sep,30-Sep,$250 ,$69,
DE,Dover,Kent,1-Oct,30-Apr,$93 ,$54,
DE,Dover,Kent,1-May,30-Sep,$110 ,$54,
DE,Lewes,Sussex,1-Oct,30-Apr,$95 ,$59,
DE,Lewes,Sussex,1-May,30-Jun,$128 ,$59,
DE,Lewes,Sussex,1-Jul,31-Aug,$181 ,$59,
DE,Lewes,Sussex,1-Sep,30-Sep,$95 ,$59,
DE,Wilmington,New Castle,,,$127 ,$54,
FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,1-Oct,31-Dec,$136 ,$59,
FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,1-Jan,30-Apr,$195 ,$59,
FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,1-May,30-Sep,$110 ,$59,
FL,Bradenton,Manatee,1-Oct,31-Jan,$102 ,$54,
FL,Bradenton,Manatee,1-Feb,31-Mar,$161 ,$54,
FL,Bradenton,Manatee,1-Apr,30-Sep,$102 ,$54,
FL,Cocoa Beach,Brevard,1-Oct,31-Jan,$121 ,$64,
FL,Cocoa Beach,Brevard,1-Feb,31-Mar,$149 ,$64,
FL,Cocoa Beach,Brevard,1-Apr,30-Sep,$121 ,$64,
FL,Daytona Beach,Volusia,1-Oct,31-Jan,$97 ,$59,
FL,Daytona Beach,Volusia,1-Feb,31-Mar,$131 ,$59,
FL,Daytona Beach,Volusia,1-Apr,31-Jul,$108 ,$59,
FL,Daytona Beach,Volusia,1-Aug,30-Sep,$97 ,$59,
FL,Fort Lauderdale,Broward,1-Oct,31-Dec,$148 ,$64,
FL,Fort Lauderdale,Broward,1-Jan,30-Apr,$195 ,$64,
FL,Fort Lauderdale,Broward,1-May,30-Sep,$121 ,$64,
FL,Fort Myers,Lee,1-Oct,31-Jan,$110 ,$59,
FL,Fort Myers,Lee,1-Feb,31-Mar,$190 ,$59,
FL,Fort Myers,Lee,1-Apr,30-Sep,$110 ,$59,
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Oct,31-Oct,$141 ,$64,
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Nov,28-Feb,$93 ,$64,
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Mar,31-May,$156 ,$64,
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Jun,31-Jul,$221 ,$64,
FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,1-Aug,30-Sep,$141 ,$64,
FL,Gainesville,Alachua,,,$102 ,$59,
FL,Gulf Breeze,Santa Rosa,1-Oct,28-Feb,$93 ,$64,
FL,Gulf Breeze,Santa Rosa,1-Mar,31-May,$102 ,$64,
FL,Gulf Breeze,Santa Rosa,1-Jun,31-Jul,$138 ,$64,
FL,Gulf Breeze,Santa Rosa,1-Aug,30-Sep,$93 ,$64,
FL,Key West,Monroe,1-Oct,30-Nov,$209 ,$69,
FL,Key West,Monroe,1-Dec,31-Jan,$268 ,$69,
FL,Key West,Monroe,1-Feb,30-Apr,$294 ,$69,
FL,Key West,Monroe,1-May,30-Sep,$201 ,$69,
FL,Miami,Miami-Dade,1-Oct,30-Nov,$140 ,$64,
FL,Miami,Miami-Dade,1-Dec,31-Mar,$176 ,$64,
FL,Miami,Miami-Dade,1-Apr,31-May,$148 ,$64,
FL,Miami,Miami-Dade,1-Jun,30-Sep,$119 ,$64,
FL,Naples,Collier,1-Oct,30-Nov,$145 ,$64,
FL,Naples,Collier,1-Dec,31-Jan,$210 ,$64,
FL,Naples,Collier,1-Feb,30-Apr,$247 ,$64,
FL,Naples,Collier,1-May,30-Sep,$132 ,$64,
FL,Orlando,Orange,1-Oct,31-Mar,$129 ,$59,
FL,Orlando,Orange,1-Apr,31-Jul,$121 ,$59,
FL,Orlando,Orange,1-Aug,30-Sep,$129 ,$59,
FL,Panama City,Bay,1-Oct,28-Feb,$93 ,$59,
FL,Panama City,Bay,1-Mar,31-May,$116 ,$59,
FL,Panama City,Bay,1-Jun,31-Jul,$153 ,$59,
FL,Panama City,Bay,1-Aug,30-Sep,$93 ,$59,
FL,Pensacola ,Escambia,1-Oct,28-Feb,$106 ,$59,
FL,Pensacola ,Escambia,1-Mar,31-May,$124 ,$59,
FL,Pensacola ,Escambia,1-Jun,31-Jul,$159 ,$59,
FL,Pensacola ,Escambia,1-Aug,30-Sep,$106 ,$59,
FL,Punta Gorda,Charlotte,1-Oct,31-Jan,$93 ,$59,
FL,Punta Gorda,Charlotte,1-Feb,31-Mar,$150 ,$59,
FL,Punta Gorda,Charlotte,1-Apr,30-Sep,$93 ,$59,
FL,Sarasota,Sarasota,1-Oct,30-Nov,$103 ,$59,
FL,Sarasota,Sarasota,1-Dec,30-Apr,$148 ,$59,
FL,Sarasota,Sarasota,1-May,30-Sep,$103 ,$59,
FL,Sebring,Highlands,,,$99 ,$54,
FL,St. Augustine,St. Johns,,,$121 ,$59,
FL,Stuart,Martin,1-Oct,31-Jan,$98 ,$59,
FL,Stuart,Martin,1-Feb,31-Mar,$152 ,$59,
FL,Stuart,Martin,1-Apr,30-Sep,$98 ,$59,
FL,Tallahassee,Leon,1-Oct,31-Dec,$98 ,$54,
FL,Tallahassee,Leon,1-Jan,30-Apr,$116 ,$54,
FL,Tallahassee,Leon,1-May,30-Sep,$98 ,$54,
FL,Tampa / St. Petersburg,Pinellas / Hillsborough,1-Oct,31-Dec,$120 ,$54,
FL,Tampa / St. Petersburg,Pinellas / Hillsborough,1-Jan,31-Mar,$154 ,$54,
FL,Tampa / St. Petersburg,Pinellas / Hillsborough,1-Apr,30-Sep,$120 ,$54,
FL,Vero Beach,Indian River,1-Oct,30-Nov,$131 ,$59,
FL,Vero Beach,Indian River,1-Dec,30-Apr,$173 ,$59,
FL,Vero Beach,Indian River,1-May,30-Sep,$131 ,$59,
GA,Athens,Clarke,,,$101 ,$59,
GA,Atlanta,Fulton / Dekalb / Cobb,1-Oct,31-Oct,$166 ,$69,
GA,Atlanta,Fulton / Dekalb / Cobb,1-Nov,31-Aug,$148 ,$69,
GA,Atlanta,Fulton / Dekalb / Cobb,1-Sep,30-Sep,$166 ,$69,
GA,Augusta,Richmond,,,$101 ,$59,
GA,Jekyll Island / Brunswick,Glynn,1-Oct,28-Feb,$122 ,$64,
GA,Jekyll Island / Brunswick,Glynn,1-Mar,31-Jul,$154 ,$64,
GA,Jekyll Island / Brunswick,Glynn,1-Aug,30-Sep,$122 ,$64,
GA,Savannah,Chatham,1-Oct,28-Feb,$117 ,$59,
GA,Savannah,Chatham,1-Mar,30-Apr,$132 ,$59,
GA,Savannah,Chatham,1-May,30-Sep,$117 ,$59,
IA,Dallas,Dallas,,,$118 ,$54,
IA,Des Moines,Polk,,,$109 ,$59,
ID,Coeur d'Alene,Kootenai,1-Oct,31-May,$93 ,$59,
ID,Coeur d'Alene,Kootenai,1-Jun,31-Aug,$126 ,$59,
ID,Coeur d'Alene,Kootenai,1-Sep,30-Sep,$93 ,$59,
ID,Sun Valley / Ketchum,Blaine / Elmore,1-Oct,31-May,$110 ,$54,
ID,Sun Valley / Ketchum,Blaine / Elmore,1-Jun,31-Aug,$133 ,$54,
ID,Sun Valley / Ketchum,Blaine / Elmore,1-Sep,30-Sep,$110 ,$54,
IL,Bolingbrook / Romeoville / Lemont,Will,,,$105 ,$54,
IL,Chicago,Cook / Lake,1-Oct,30-Nov,$226 ,$74,
IL,Chicago,Cook / Lake,1-Dec,31-Mar,$130 ,$74,
IL,Chicago,Cook / Lake,1-Apr,30-Jun,$215 ,$74,
IL,Chicago,Cook / Lake,1-Jul,31-Aug,$193 ,$74,
IL,Chicago,Cook / Lake,1-Sep,30-Sep,$226 ,$74,
IL,Oak Brook Terrace,Dupage,,,$114 ,$59,
IL,O'Fallon / Fairview Heights / Collinsville,Bond / Calhoun / Clinton / Jersey / Macoupin / Madison / Monroe / St. Clair,,,$130 ,$54,
IN,Bloomington ,Monroe,,,$104 ,$69,
IN,Ft. Wayne,Allen,,,$100 ,$54,
IN,Hammond / Munster / Merrillville,Lake,,,$97 ,$59,
IN,Indianapolis / Carmel,Marion / Hamilton,,,$119 ,$54,
IN,Lafayette / West Lafayette,Tippecanoe,,,$103 ,$54,
IN,South Bend,St. Joseph,,,$97 ,$59,
KS,Kansas City / Overland Park,Wyandotte / Johnson / Leavenworth,,,$121 ,$64,
KS,Wichita,Sedgwick,,,$100 ,$59,
KY,Boone,Boone,,,$105 ,$54,
KY,Kenton,Kenton,,,$141 ,$69,
KY,Lexington,Fayette,1-Oct,31-Oct,$109 ,$54,
KY,Lexington,Fayette,1-Nov,31-Mar,$101 ,$54,
KY,Lexington,Fayette,1-Apr,30-Sep,$109 ,$54,
KY,Louisville,Jefferson,1-Oct,31-Jan,$118 ,$59,
KY,Louisville,Jefferson,1-Feb,31-May,$138 ,$59,
KY,Louisville,Jefferson,1-Jun,30-Sep,$118 ,$59,
LA,Alexandria / Leesville / Natchitoches,Allen / Jefferson Davis / Natchitoches / Rapides / Vernon Parishes,,,$96 ,$64,
LA,Baton Rouge,East Baton Rouge Parish,,,$105 ,$59,
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Oct,31-Jan,$148 ,$64,
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Feb,30-Apr,$173 ,$64,
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-May,30-Jun,$152 ,$64,
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Jul,31-Aug,$109 ,$64,
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Sep,30-Sep,$148 ,$64,
MA,Andover,Essex,,,$118 ,$59,
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Oct,30-Nov,$287 ,$69,
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Dec,28-Feb,$169 ,$69,
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Mar,31-Aug,$267 ,$69,
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Sep,30-Sep,$287 ,$69,
MA,Burlington / Woburn,Middlesex less the city of Cambridge,,,$150 ,$64,
MA,Falmouth,City limits of Falmouth,1-Oct,30-Apr,$129 ,$64,
MA,Falmouth,City limits of Falmouth,1-May,30-Jun,$154 ,$64,
MA,Falmouth,City limits of Falmouth,1-Jul,31-Aug,$257 ,$64,
MA,Falmouth,City limits of Falmouth,1-Sep,30-Sep,$129 ,$64,
MA,Hyannis,Barnstable less the city of Falmouth,1-Oct,30-Jun,$126 ,$64,
MA,Hyannis,Barnstable less the city of Falmouth,1-Jul,31-Aug,$215 ,$64,
MA,Hyannis,Barnstable less the city of Falmouth,1-Sep,30-Sep,$126 ,$64,
MA,Martha's Vineyard,Dukes,1-Oct,31-May,$146 ,$74,
MA,Martha's Vineyard,Dukes,1-Jun,30-Sep,$322 ,$74,
MA,Nantucket,Nantucket,1-Oct,31-May,$141 ,$74,
MA,Nantucket,Nantucket,1-Jun,30-Sep,$300 ,$74,
MA,Northampton,Hampshire,,,$107 ,$64,
MA,Pittsfield,Berkshire,,,$126 ,$64,
MA,Plymouth / Taunton / New Bedford,Plymouth / Bristol,,,$115 ,$59,
MA,Quincy,Norfolk,1-Oct,31-Oct,$161 ,$59,
MA,Quincy,Norfolk,1-Nov,30-Apr,$136 ,$59,
MA,Quincy,Norfolk,1-May,30-Sep,$161 ,$59,
MA,Springfield,Hampden,,,$110 ,$59,
MA,Worcester,Worcester,,,$127 ,$59,
MD,Aberdeen / Bel Air / Belcamp,Harford,,,$106 ,$59,
MD,Annapolis,Anne Arundel,1-Oct,31-Oct,$130 ,$69,
MD,Annapolis,Anne Arundel,1-Nov,30-Apr,$106 ,$69,
MD,Annapolis,Anne Arundel,1-May,30-Sep,$130 ,$69,
MD,Baltimore City,Baltimore City,1-Oct,30-Nov,$160 ,$69,
MD,Baltimore City,Baltimore City,1-Dec,28-Feb,$121 ,$69,
MD,Baltimore City,Baltimore City,1-Mar,30-Jun,$161 ,$69,
MD,Baltimore City,Baltimore City,1-Jul,31-Aug,$140 ,$69,
MD,Baltimore City,Baltimore City,1-Sep,30-Sep,$160 ,$69,
MD,Baltimore County,Baltimore,,,$103 ,$59,
MD,Cambridge / St. Michaels,Dorchester / Talbot,1-Oct,31-Oct,$144 ,$64,
MD,Cambridge / St. Michaels,Dorchester / Talbot,1-Nov,31-Mar,$103 ,$64,
MD,Cambridge / St. Michaels,Dorchester / Talbot,1-Apr,30-Sep,$144 ,$64,
MD,Centreville,Queen Anne,,,$117 ,$69,
MD,Columbia,Howard,,,$107 ,$64,
MD,Frederick,Frederick,,,$98 ,$59,
MD,Ocean City,Worcester,1-Oct,30-Jun,$108 ,$64,
MD,Ocean City,Worcester,1-Jul,31-Aug,$239 ,$64,
MD,Ocean City,Worcester,1-Sep,30-Sep,$108 ,$64,
ME,Bar Harbor,Hancock,1-Oct,31-Oct,$167 ,$74,
ME,Bar Harbor,Hancock,1-Nov,30-Jun,$122 ,$74,
ME,Bar Harbor,Hancock,1-Jul,31-Aug,$218 ,$74,
ME,Bar Harbor,Hancock,1-Sep,30-Sep,$167 ,$74,
ME,Kennebunk / Kittery / Sanford,York ,1-Oct,31-Oct,$108 ,$59,
ME,Kennebunk / Kittery / Sanford,York ,1-Nov,30-Jun,$93 ,$59,
ME,Kennebunk / Kittery / Sanford,York ,1-Jul,31-Aug,$145 ,$59,
ME,Kennebunk / Kittery / Sanford,York ,1-Sep,30-Sep,$108 ,$59,
ME,Portland,Cumberland / Sagadahoc,1-Oct,31-Oct,$147 ,$59,
ME,Portland,Cumberland / Sagadahoc,1-Nov,30-Jun,$109 ,$59,
ME,Portland,Cumberland / Sagadahoc,1-Jul,31-Aug,$170 ,$59,
ME,Portland,Cumberland / Sagadahoc,1-Sep,30-Sep,$147 ,$59,
ME,Rockport,Knox,1-Oct,30-Jun,$101 ,$69,
ME,Rockport,Knox,1-Jul,31-Aug,$133 ,$69,
ME,Rockport,Knox,1-Sep,30-Sep,$101 ,$69,
MI,Ann Arbor,Washtenaw,,,$120 ,$59,
MI,Benton Harbor / St. Joseph / Stevensville,Berrien ,1-Oct,30-Jun,$93 ,$54,
MI,Benton Harbor / St. Joseph / Stevensville,Berrien ,1-Jul,31-Aug,$116 ,$54,
MI,Benton Harbor / St. Joseph / Stevensville,Berrien ,1-Sep,30-Sep,$93 ,$54,
MI,Detroit,Wayne,,,$126 ,$54,
MI,East Lansing / Lansing,Ingham / Eaton,,,$103 ,$59,
MI,Grand Rapids,Kent,,,$113 ,$59,
MI,Holland,Ottawa,,,$111 ,$59,
MI,Kalamazoo / Battle Creek ,Kalamazoo / Calhoun,,,$100 ,$54,
MI,Mackinac Island,Mackinac,1-Oct,30-Jun,$93 ,$59,
MI,Mackinac Island,Mackinac,1-Jul,31-Aug,$119 ,$59,
MI,Mackinac Island,Mackinac,1-Sep,30-Sep,$93 ,$59,
MI,Midland,Midland,,,$113 ,$54,
MI,Muskegon,Muskegon,1-Oct,31-May,$93 ,$54,
MI,Muskegon,Muskegon,1-Jun,31-Aug,$122 ,$54,
MI,Muskegon,Muskegon,1-Sep,30-Sep,$93 ,$54,
MI,Petoskey,Emmet,1-Oct,30-Jun,$108 ,$59,
MI,Petoskey,Emmet,1-Jul,31-Aug,$181 ,$59,
MI,Petoskey,Emmet,1-Sep,30-Sep,$108 ,$59,
MI,Pontiac / Auburn Hills ,Oakland,,,$113 ,$54,
MI,South Haven,Van Buren,1-Oct,31-May,$93 ,$59,
MI,South Haven,Van Buren,1-Jun,31-Aug,$118 ,$59,
MI,South Haven,Van Buren,1-Sep,30-Sep,$93 ,$59,
MI,Traverse City / Leland,Grand Traverse / Leelanau,1-Oct,30-Jun,$107 ,$74,
MI,Traverse City / Leland,Grand Traverse / Leelanau,1-Jul,31-Aug,$179 ,$74,
MI,Traverse City / Leland,Grand Traverse / Leelanau,1-Sep,30-Sep,$107 ,$74,
MN,Duluth,St. Louis,1-Oct,31-Oct,$154 ,$64,
